,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao
0,2024-07-29 21:31:00,141.19,142.565,142.57,140.83,2304456,1722259860,,,,,,,,,,,69.80501422735142,29.12939163758351,0.5161428571428611,10.85270420508828,49.88190493459005
1,2024-07-29 21:32:00,142.26,141.555,142.26,141.555,310029,1722259920,,,,,,,,,,,71.17386633757783,29.12939163758351,0.5161428571428611,10.85270420508828,65.87530780737416
2,2024-07-29 21:33:00,141.71,142.6,142.78,141.71,295622,1722259980,,,,,,,,,,,76.91660035473129,29.12939163758351,0.5161428571428611,10.85270420508828,62.191580766097566
3,2024-07-29 21:34:00,142.82,142.72,142.82,142.45,369041,1722260040,1.0,,,,,,,,,,82.41244569721016,29.12939163758351,0.5161428571428611,10.85270420508828,67.31526819041615
4,2024-07-29 21:35:00,142.745,142.57,143.17,142.57,304570,1722260100,,,,,,,,,,,84.9671169127381,38.756558901694234,0.7229285714285721,10.85270420508828,69.60139490536902
5,2024-07-29 21:36:00,142.43,143.19,143.19,142.43,278875,1722260160,,,,,,,,,,,89.9963801058796,38.756558901694234,0.7229285714285721,10.85270420508828,67.70307271987564
6,2024-07-29 21:37:00,142.98,143.025,143.06,142.62,257363,1722260220,,,,,,,,,,,93.64520459996221,38.756558901694234,0.7229285714285721,10.85270420508828,69.30200865022
7,2024-07-29 21:38:00,143.32,143.473,143.473,143.12,273584,1722260280,,,,,,,,,,,97.61060038401835,38.756558901694234,0.7229285714285721,10.85270420508828,68.85325947894434
8,2024-07-29 21:39:00,143.09,143.38,143.38,143.09,208935,1722260340,,,,,,,,,,,100.66627934121914,38.756558901694234,0.7229285714285721,10.85270420508828,68.88091482060027
9,2024-07-29 21:40:00,143.72,143.54,143.9,143.54,311929,1722260400,,1.0,,,,,,,,,102.28252967622242,48.64431039031082,0.8112857142857146,10.85270420508828,67.92476087167987
10,2024-07-29 21:41:00,143.7,143.99,143.99,143.61,243254,1722260460,,,,,,,,,,,105.08912375648873,48.64431039031082,0.8112857142857146,10.85270420508828,65.45836132064599
11,2024-07-29 21:42:00,144.03,143.89,144.09,143.82,284743,1722260520,,,,,,,,,,,106.7407513973842,48.64431039031082,0.8112857142857146,10.85270420508828,65.16576492053322
12,2024-07-29 21:43:00,143.62,143.5,143.92,143.42,344741,1722260580,,,,,,,,,,,106.62893437269065,48.64431039031082,0.8112857142857146,10.85270420508828,63.319940855367676
13,2024-07-29 21:44:00,143.77,143.601,143.77,143.55,215772,1722260640,,,,,,,,,,,106.83835771210408,48.64431039031082,0.8112857142857146,10.85270420508828,58.7871422622557
14,2024-07-29 21:45:00,143.883,144.169,144.185,143.883,245020,1722260700,,,,,,,,,,,108.77022842594141,58.758507902706725,0.8409285714285711,10.85270420508828,55.52479741240132
15,2024-07-29 21:46:00,144.26,144.0,144.4,144.0,444807,1722260760,,,,,,,,,,,109.02264837464008,58.758507902706725,0.8409285714285711,10.85270420508828,56.80962948895076
16,2024-07-29 21:47:00,144.085,143.69,144.085,143.69,268154,1722260820,,,,,,,,,,,108.04451660696179,58.758507902706725,0.8409285714285711,10.85270420508828,53.873454406864354
17,2024-07-29 21:48:00,143.67,143.47,143.71,143.41,284371,1722260880,,,,,,,,,,,106.29901673937675,58.758507902706725,0.8409285714285711,10.85270420508828,47.97850608310044
18,2024-07-29 21:49:00,143.15,142.93,143.22,142.93,337310,1722260940,,,,,,,,,,,102.71381113832894,58.758507902706725,0.8409285714285711,10.85270420508828,39.817040481167936
19,2024-07-29 21:50:00,142.6,142.975,143.035,142.6,323939,1722261000,,,,,,,,,,,99.6178530070759,62.90408834125644,0.9266428571428581,10.85270420508828,22.730357441703465
20,2024-07-29 21:51:00,142.84,142.625,143.08,142.625,273718,1722261060,,,,,,,,,,,95.53321192903991,62.90408834125644,0.9266428571428581,10.85270420508828,9.774659176962924
21,2024-07-29 21:52:00,142.62,143.02,143.08,142.62,246678,1722261120,,,,,,,,,,,93.27762054030626,62.90408834125644,0.9266428571428581,10.85270420508828,-7.541126843805234
22,2024-07-29 21:53:00,142.82,143.095,143.095,142.708,201375,1722261180,,,,,,,,,,,91.498224784457,62.90408834125644,0.9266428571428581,10.85270420508828,-8.90440163844626
23,2024-07-29 21:54:00,143.32,143.03,143.32,143.03,159863,1722261240,,,,,,,,,,,89.64018632040819,62.90408834125644,0.9266428571428581,10.85270420508828,-7.848551941588513
24,2024-07-29 21:55:00,143.158,142.941,143.158,142.77,139478,1722261300,,,,,,,,,,,87.62938398248377,66.44915395127173,0.9587142857142855,10.85270420508828,-8.584294526922337
25,2024-07-29 21:56:00,143.18,143.04,143.22,143.04,144021,1722261360,,,,,,,,,,,86.16870103542362,66.44915395127173,0.9587142857142855,10.85270420508828,-10.994560358424788
26,2024-07-29 21:57:00,143.01,142.98,143.21,142.98,161042,1722261420,,,,,,,,,,,84.62547718205312,66.44915395127173,0.9587142857142855,10.85270420508828,-10.01712091273839
27,2024-07-29 21:58:00,142.721,142.95,142.95,142.721,146345,1722261480,,,,,,,,,,,83.12094161606291,66.44915395127173,0.9587142857142855,10.85270420508828,-10.639988477707476
28,2024-07-29 21:59:00,142.805,142.97,143.099,142.805,116577,1722261540,,,,,,,,,,,81.83558446730538,66.44915395127173,0.9587142857142855,10.85270420508828,-11.561294685597842
29,2024-07-29 22:00:00,142.97,142.78,142.97,142.68,145865,1722261600,,,,,,,,,,,79.98701214072952,69.01554626554578,0.9608571428571427,13.817442548763296,-11.48749101646743
30,2024-07-29 22:01:00,142.66,143.14,143.19,142.54,220514,1722261660,,,,,,,,,,,79.63452731547252,69.01554626554578,0.9608571428571427,13.817442548763296,-15.639926812209392
